2024年4月
編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024-04-08 01:45:04,121.843,24.286,3.2,10.2,花蓮縣政府東北方  39.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-08 01:23:59,120.208,23.3628,3.9,9.6,嘉義縣政府西南方  13.7  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024-04-08 01:03:08,121.534,23.78,3.7,17.6,花蓮縣政府南南西方  25.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-08 00:14:51,121.649,24.0282,3.6,28.9,花蓮縣政府東北方  5.1  公里 (位於花蓮縣近海)(花蓮縣近海)
174   ,2024-04-07 23:35:22,121.851,24.2858,4,9.9,花蓮縣政府東北方  40.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-07 23:17:28,121.626,24.076,3.3,7.9,花蓮縣政府北方  9.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 22:30:54,121.642,24.0285,3.7,25.5,花蓮縣政府北北東方  4.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 22:19:54,121.656,24.023,3.5,27.1,花蓮縣政府東北方  5.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 22:13:39,121.958,24.1573,4.2,24.1,花蓮縣政府東北東方  39.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-07 21:46:53,121.679,24.1123,3.7,16.3,花蓮縣政府北北東方  14.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 21:21:54,121.626,24.0398,3.6,24.4,花蓮縣政府北方  5.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 20:47:59,121.746,24.2157,3.5,12.1,花蓮縣政府北北東方  28.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 20:08:32,121.742,24.253,3.1,12.1,花蓮縣政府北北東方  31.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 20:03:04,121.528,23.781,3.6,17.2,花蓮縣政府南南西方  25.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-07 19:49:29,121.758,24.2408,3.1,12.4,花蓮縣政府北北東方  31.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 19:33:12,121.67,24.0277,4.3,39.3,花蓮縣政府東北方  6.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 19:27:22,121.704,24.2463,3.4,14.1,花蓮縣政府北北東方  29.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-07 19:24:56,121.697,23.8335,3.4,11.4,花蓮縣政府南南東方  19.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-07 19:01:12,121.573,24.0043,3.4,6.9,花蓮縣政府西北西方  5.0  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2024-04-07 18:52:43,121.907,24.1937,3.8,23.2,花蓮縣政府東北方  36.8  公里 (位於臺灣東部海域)(臺灣東部海域)
173   ,2024-04-07 18:24:40,121.685,24.105,4.4,17.3,花蓮縣政府北北東方  14.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 18:17:04,121.729,24.2658,3.1,15.7,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-07 18:15:25,121.719,24.2723,3.5,13.4,花蓮縣政府北北東方  32.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
172   ,2024-04-07 18:01:22,121.965,24.1698,5.4,16.9,花蓮縣政府東北東方  40.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-07 17:49:57,121.848,24.216,3.9,6.4,花蓮縣政府東北方  34.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-07 16:05:01,121.662,24.1425,3.3,16,花蓮縣政府北北東方  17.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 15:45:13,121.716,24.1215,3.6,13.3,花蓮縣政府東北方  17.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 15:43:13,121.534,23.8028,3.9,17.1,花蓮縣政府南南西方  22.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-07 15:42:21,121.697,24.2493,3.6,13.9,花蓮縣政府北北東方  29.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-07 14:10:57,121.75,24.1858,3.6,20.4,花蓮縣政府北北東方  25.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 13:00:08,121.715,24.0577,4.2,35.6,花蓮縣政府東北方  12.1  公里 (位於花蓮縣近海)(花蓮縣近海)
171   ,2024-04-07 12:48:02,121.555,23.838,4.2,19,花蓮縣政府南南西方  18.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
170   ,2024-04-07 12:43:14,121.616,23.9667,4.5,26.5,花蓮縣政府南方  2.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 12:21:30,121.769,24.2582,3.2,12.8,花蓮縣政府北北東方  33.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 12:21:18,121.555,23.8085,3.6,4.3,花蓮縣政府南南西方  21.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-07 11:45:20,121.545,23.7845,4,19.1,花蓮縣政府南南西方  24.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-07 11:31:39,121.759,24.2482,3.2,12.1,花蓮縣政府北北東方  31.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 10:52:13,121.736,24.116,3.9,29.2,花蓮縣政府東北方  18.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-07 10:38:03,121.715,24.2437,3.2,14.9,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣近海)(花蓮縣近海)
169   ,2024-04-07 10:06:01,121.755,24.2635,4.5,11.7,花蓮縣政府北北東方  33.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 09:55:48,121.555,23.9445,3,11.1,花蓮縣政府西南方  8.4  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024-04-07 09:55:35,121.704,24.2465,3.1,13.9,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-07 09:44:55,121.57,23.9343,3.5,7.2,花蓮縣政府西南方  8.1  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024-04-07 08:45:10,121.575,23.8673,3.6,9.4,花蓮縣政府南南西方  14.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-07 08:40:44,121.696,24.1322,3.6,12.4,花蓮縣政府北北東方  17.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 08:36:47,121.569,23.9293,3.8,8.2,花蓮縣政府西南方  8.6  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024-04-07 06:52:51,121.841,24.2,3.5,21.5,花蓮縣政府東北方  32.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-07 06:42:54,121.583,24.058,3.4,6.4,花蓮縣政府北北西方  8.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-07 06:41:16,121.772,24.213,3.6,9.4,花蓮縣政府東北方  29.0  公里 (位於臺灣東部海域)(臺灣東部海域)
168   ,2024-04-07 06:30:50,121.587,24.0573,4,5.9,花蓮縣政府北北西方  8.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-07 06:02:12,121.586,24.0577,3.4,6,花蓮縣政府北北西方  8.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
167   ,2024-04-07 05:50:20,121.699,24.2503,4.1,13.1,花蓮縣政府北北東方  29.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-07 05:45:29,121.699,24.2482,3.4,14.3,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-07 05:42:45,121.633,24.1083,3,6.7,花蓮縣政府北方  13.1  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024-04-07 05:25:20,121.738,24.2565,3.6,12.3,花蓮縣政府北北東方  31.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 05:24:57,121.757,24.261,4.1,10.6,花蓮縣政府北北東方  33.0  公里 (位於花蓮縣近海)(花蓮縣近海)
166   ,2024-04-07 05:15:10,121.714,24.0403,5.1,13.8,花蓮縣政府東北東方  11.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 04:28:06,121.557,23.8592,3.3,7.9,花蓮縣政府南南西方  15.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-07 03:57:53,121.702,24.0258,3.3,25.5,花蓮縣政府東北東方  9.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 03:46:11,121.776,24.1962,3.6,7.2,花蓮縣政府東北方  27.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-07 01:56:23,121.749,24.2678,3.7,11.7,花蓮縣政府北北東方  33.4  公里 (位於花蓮縣近海)(花蓮縣近海)
