2024年4月
編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024-04-07 01:49:06,121.589,23.9638,3.6,27.1,花蓮縣政府西南方  4.3  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024-04-07 01:48:32,121.759,24.2772,3.7,14.2,花蓮縣政府北北東方  34.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 01:48:12,121.759,24.261,3.2,12.8,花蓮縣政府北北東方  33.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 01:37:53,121.646,24.2003,3.5,27.3,花蓮縣政府北方  23.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-07 00:40:59,121.769,24.2765,3.8,11.7,花蓮縣政府北北東方  35.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-07 00:19:47,121.599,24.0537,3.4,6.3,花蓮縣政府北北西方  7.3  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024-04-07 00:05:13,121.739,24.2408,3.2,14.1,花蓮縣政府北北東方  30.2  公里 (位於花蓮縣近海)(花蓮縣近海)
165   ,2024-04-07 00:03:05,121.753,24.2258,4.1,13.3,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 23:53:49,121.738,24.2695,3.8,12.6,花蓮縣政府北北東方  33.1  公里 (位於花蓮縣近海)(花蓮縣近海)
164   ,2024-04-06 23:53:11,121.855,24.1885,4.7,21.9,花蓮縣政府東北方  32.4  公里 (位於臺灣東部海域)(臺灣東部海域)
163   ,2024-04-06 23:46:26,121.751,24.2627,4,10.9,花蓮縣政府北北東方  32.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 23:45:07,121.769,24.263,3.9,11.9,花蓮縣政府北北東方  33.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 23:43:53,121.762,24.2622,3.4,15.3,花蓮縣政府北北東方  33.3  公里 (位於花蓮縣近海)(花蓮縣近海)
162   ,2024-04-06 23:43:09,121.754,24.2735,4.3,11.2,花蓮縣政府北北東方  34.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 23:11:51,121.536,23.8537,3.1,9.1,花蓮縣政府南南西方  17.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-06 23:09:37,121.676,24.231,3.2,14.4,花蓮縣政府北北東方  27.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-06 23:01:01,121.825,24.2633,3.4,21.5,花蓮縣政府東北方  36.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 22:55:37,121.732,24.2383,3.2,6.5,花蓮縣政府北北東方  29.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 22:53:21,121.821,24.262,3.7,24.6,花蓮縣政府東北方  36.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 22:09:50,121.533,23.8547,3.3,5.3,花蓮縣政府南南西方  17.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-06 22:02:26,121.606,23.9468,3.7,24,花蓮縣政府南南西方  5.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 21:35:34,121.739,24.2293,3.2,10.9,花蓮縣政府北北東方  29.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 21:31:17,121.744,24.2382,3.6,12,花蓮縣政府北北東方  30.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 21:29:22,121.78,24.1693,3.2,6.1,花蓮縣政府東北方  25.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 21:22:29,121.866,24.209,3.8,25.4,花蓮縣政府東北方  34.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 21:19:04,121.761,24.2337,4,13.4,花蓮縣政府北北東方  30.4  公里 (位於花蓮縣近海)(花蓮縣近海)
161   ,2024-04-06 21:17:53,121.742,24.24,4.7,10.5,花蓮縣政府北北東方  30.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 20:43:43,121.639,23.885,3.7,30.2,花蓮縣政府南方  11.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 20:39:05,121.75,24.25,3.4,11.2,花蓮縣政府北北東方  31.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 20:32:33,121.763,24.1163,3.6,29,花蓮縣政府東北方  20.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 19:53:53,121.863,24.2563,3.9,17.7,花蓮縣政府東北方  38.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 19:33:56,121.504,23.8625,3.8,6.1,花蓮縣政府西南方  18.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-06 19:29:40,121.739,24.2622,3.7,10.9,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 19:25:25,121.76,24.2495,3.5,12.6,花蓮縣政府北北東方  31.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 19:15:51,121.755,24.2507,3.1,11.8,花蓮縣政府北北東方  31.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 19:14:12,121.742,24.2515,3.2,11.2,花蓮縣政府北北東方  31.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 18:50:18,121.566,23.8627,3.1,5.2,花蓮縣政府南南西方  15.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-06 18:49:09,121.535,23.868,4,7.8,花蓮縣政府西南方  16.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
160   ,2024-04-06 18:47:13,121.713,23.9185,5.3,25.1,花蓮縣政府東南方  12.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 18:41:52,121.602,24.0545,3.7,6.9,花蓮縣政府北北西方  7.3  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024-04-06 18:08:45,121.758,24.2357,3.1,12.9,花蓮縣政府北北東方  30.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 17:33:50,121.723,24.1917,3.6,19,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 17:18:19,121.735,24.1865,3.5,18.7,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 17:14:39,121.729,24.2508,3.8,10.1,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
159   ,2024-04-06 17:07:57,121.738,24.2492,4.1,10.9,花蓮縣政府北北東方  31.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 16:17:02,121.711,24.1258,3.4,18.1,花蓮縣政府東北方  17.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 16:14:02,121.554,23.8523,3.8,8.7,花蓮縣政府南南西方  16.8  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
158   ,2024-04-06 16:10:25,121.556,23.8472,4.6,5.9,花蓮縣政府南南西方  17.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-06 15:55:05,121.705,24.1198,3.4,16,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
157   ,2024-04-06 15:53:29,121.705,24.123,4.1,16.9,花蓮縣政府北北東方  17.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 14:52:34,121.609,23.8603,4.5,31.6,花蓮縣政府南方  14.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 14:39:51,121.711,24.1095,3.3,5.9,花蓮縣政府東北方  16.1  公里 (位於花蓮縣近海)(花蓮縣近海)
156   ,2024-04-06 14:02:20,121.748,23.9523,4.6,23.1,花蓮縣政府東南東方  13.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 13:48:26,121.516,23.7613,3.1,7.2,花蓮縣政府南南西方  27.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
155   ,2024-04-06 13:25:22,121.734,24.1837,4.2,20.5,花蓮縣政府北北東方  24.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 12:37:20,121.818,24.2623,3.4,22,花蓮縣政府東北方  36.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 12:30:25,121.727,24.2085,3.3,16.5,花蓮縣政府北北東方  26.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 12:00:05,121.725,24.1813,3.5,18.9,花蓮縣政府北北東方  23.6  公里 (位於花蓮縣近海)(花蓮縣近海)
154   ,2024-04-06 11:52:55,121.727,24.1898,5.2,16.3,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 11:50:22,121.671,24.1672,4.2,16.7,花蓮縣政府北北東方  20.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 11:33:59,121.739,24.2172,3.5,13.3,花蓮縣政府北北東方  27.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 11:20:14,121.693,24.21,3.3,11.3,花蓮縣政府北北東方  25.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 10:56:35,121.62,23.9583,4,25.3,花蓮縣政府南方  3.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 10:07:25,121.664,23.9213,3.8,31,花蓮縣政府南南東方  8.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 09:42:54,121.983,24.2703,3.7,9.5,花蓮縣政府東北方  48.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 09:37:50,122.037,23.6893,4.8,11.8,花蓮縣政府東南方  54.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 09:34:29,121.682,24.1257,3.8,6.4,花蓮縣政府北北東方  16.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 09:33:41,121.668,24.1275,3.9,5,花蓮縣政府北北東方  15.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 09:31:03,121.769,24.2522,3.3,15.3,花蓮縣政府北北東方  32.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 09:26:16,121.782,24.2453,3.3,16.3,花蓮縣政府北北東方  32.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 08:48:58,121.825,24.2442,3.4,18.8,花蓮縣政府東北方  34.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 08:46:00,121.768,24.2317,3.4,14.7,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 08:45:44,121.776,24.2288,3.5,15.2,花蓮縣政府北北東方  30.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 08:37:54,121.757,24.2335,3.5,13.8,花蓮縣政府北北東方  30.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 08:18:55,121.747,24.239,3.8,15.4,花蓮縣政府北北東方  30.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 07:54:19,121.696,24.1178,3.6,7.1,花蓮縣政府北北東方  16.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 07:42:35,121.696,24.12,3.5,6.3,花蓮縣政府北北東方  16.3  公里 (位於花蓮縣近海)(花蓮縣近海)
153   ,2024-04-06 06:53:17,121.711,24.1157,4.1,17.2,花蓮縣政府東北方  16.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 06:33:26,121.724,24.1837,3.6,6.8,花蓮縣政府北北東方  23.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 05:58:17,121.713,24.2727,3.9,13.3,花蓮縣政府北北東方  32.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-06 05:46:50,121.73,24.2653,3.1,15,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-06 05:38:46,121.715,24.1672,3.5,10.8,花蓮縣政府北北東方  21.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 05:34:14,121.647,24.0337,4.4,25.5,花蓮縣政府北北東方  5.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 05:33:53,121.666,23.9872,3.1,15.9,花蓮縣政府東方  4.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 05:07:57,121.667,24.1732,3.4,15.4,花蓮縣政府北北東方  20.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 05:03:19,121.752,24.2258,3.1,14.8,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 04:52:47,121.665,24.0517,3.5,25.8,花蓮縣政府東北方  8.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 04:36:23,121.654,23.9823,3.9,37.8,花蓮縣政府東南東方  3.6  公里 (位於花蓮縣近海)(花蓮縣近海)
152   ,2024-04-06 04:26:27,121.746,23.9472,5.3,10.3,花蓮縣政府東南東方  13.7  公里 (位於臺灣東部海域)(臺灣東部海域)
151   ,2024-04-06 04:12:11,121.711,24.1318,4.4,16.2,花蓮縣政府北北東方  18.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 03:51:10,121.737,24.1603,3.4,9.6,花蓮縣政府東北方  22.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 03:48:01,121.735,24.1695,4.2,7.9,花蓮縣政府北北東方  22.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 02:49:24,121.922,23.8912,4.6,7.9,花蓮縣政府東南東方  32.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 02:39:22,121.701,24.1218,3.5,13.7,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 01:59:03,121.734,24.1867,3.2,15.4,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 01:46:31,121.665,24.1658,3.9,25.6,花蓮縣政府北北東方  19.9  公里 (位於花蓮縣近海)(花蓮縣近海)
150   ,2024-04-06 01:17:18,121.639,24.0465,4,14.9,花蓮縣政府北北東方  6.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 00:55:26,121.747,24.2115,3,11.5,花蓮縣政府北北東方  27.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 00:54:49,121.725,24.1982,3.1,17.5,花蓮縣政府北北東方  25.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 00:40:13,121.862,24.2707,3.6,10.3,花蓮縣政府東北方  39.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 00:22:28,121.787,24.1662,4.3,3.6,花蓮縣政府東北方  25.8  公里 (位於臺灣東部海域)(臺灣東部海域)
149   ,2024-04-06 00:19:15,121.753,24.2138,4.2,12.8,花蓮縣政府北北東方  28.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-06 00:17:31,121.763,24.2455,3.6,8.8,花蓮縣政府北北東方  31.7  公里 (位於花蓮縣近海)(花蓮縣近海)
148   ,2024-04-06 00:14:51,121.814,24.0615,4.2,23.6,花蓮縣政府東北東方  21.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-06 00:09:30,121.705,24.117,3.8,15.6,花蓮縣政府東北方  16.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 23:55:28,121.732,24.2195,3.4,16.2,花蓮縣政府北北東方  27.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 23:46:15,121.672,24.1342,3.7,5,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 23:41:34,121.742,24.2193,3.3,12.5,花蓮縣政府北北東方  28.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 23:23:18,121.368,23.23,3.9,17,臺東縣政府北北東方  57.1  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
